Date,High,Low,Last,Bid,Ask,Volume,VWAP
2020-10-14,11555.1,11287.42,11401.81,11401.73,11406.5,3827.62739785,11408.37
2020-10-13,11665.09,11314.53,11439.85,11439.91,11445.22,5463.38605123,11443.7
2020-10-12,11731.7,11175.99,11661.36,11661.46,11667.07,6732.43099261,11458.17
2020-10-11,11447.44,11267.31,11355.49,11359.13,11362.12,2292.87300784,11363.21
2020-10-10,11496.06,11050.0,11356.85,11349.25,11352.65,3119.29338641,11339.39
2020-10-09,11118.49,10826.4,11076.94,11077.79,11082.98,5417.56137456,11009.86
2020-10-08,10957.0,10535.06,10902.0,10898.38,10904.37,6956.59659371,10773.54
2020-10-07,10682.56,10547.71,10657.23,10657.0,10660.38,5624.70759264,10621.79
2020-10-06,10805.82,10525.0,10589.65,10584.68,10589.52,4698.72623518,10648.94
2020-10-05,10805.34,10620.71,10754.51,10754.18,10757.2,3573.510753,10710.44
2020-10-04,10699.88,10524.81,10661.17,10659.26,10664.38,1060.36896748,10621.52
2020-10-03,10605.79,10500.0,10558.32,10562.29,10566.71,1136.58695046,10553.56
2020-10-02,10667.53,10380.0,10558.05,10556.45,10563.49,8381.00475877,10515.81
2020-10-01,10940.22,10437.08,10604.95,10603.55,10608.58,8647.28256892,10690.57
2020-09-30,10865.0,10658.56,10742.51,10743.39,10748.09,4495.66455031,10748.59
2020-09-29,10864.46,10628.52,10765.43,10766.42,10770.17,4377.42702415,10726.99
2020-09-28,10950.0,10731.4,10863.39,10863.52,10866.1,4492.7386631,10884.84
2020-09-27,10807.14,10593.58,10752.05,10752.11,10752.12,2333.62013534,10711.72
2020-09-26,10830.0,10655.29,10735.0,10735.0,10736.05,2455.150485,10721.53
2020-09-25,10770.0,10553.14,10689.6,10689.6,10693.53,6693.02573361,10665.72
2020-09-24,10795.53,10193.2,10770.0,10765.83,10770.0,6430.67154076,10486.45
2020-09-23,10541.39,10138.3,10263.58,10263.16,10267.89,5650.54842969,10383.28
2020-09-22,10573.05,10353.39,10511.75,10505.19,10512.89,4946.53364605,10464.98
2020-09-21,10996.98,10286.56,10482.95,10480.4,10486.23,9913.2318077,10579.95
2020-09-20,11089.17,10755.9,10878.5,10876.88,10878.5,3184.35371402,10908.13
2020-09-19,11183.01,10890.53,11066.19,11062.39,11066.19,2201.44110151,11039.28
2020-09-18,11040.18,10816.54,10933.85,10933.86,10940.11,4421.35971539,10920.57
2020-09-17,11054.0,10739.23,10921.72,10921.7,10927.34,5613.28263613,10872.9
2020-09-16,11100.0,10662.81,11021.9,11020.46,11025.47,8257.45603696,10935.16
2020-09-15,10940.01,10611.17,10778.76,10774.25,10778.36,6537.40116855,10792.36
2020-09-14,10765.03,10250.13,10650.34,10647.63,10653.85,7283.97990615,10540.39
2020-09-13,10576.78,10214.9,10310.98,10306.35,10310.04,4218.77869588,10351.98
2020-09-12,10482.42,10275.0,10439.9,10440.15,10445.3,2638.15920195,10371.65
2020-09-11,10408.69,10200.5,10370.05,10369.08,10372.85,5259.03395539,10298.84
2020-09-10,10495.75,10171.84,10347.5,10345.36,10353.63,10332.86886888,10337.87
2020-09-09,10353.39,9981.38,10281.41,10273.64,10279.67,5752.06391659,10193.7
2020-09-08,10446.18,9825.07,10111.63,10107.28,10115.63,10627.95276814,10104.06
2020-09-07,10403.85,9880.0,10403.85,10398.47,10405.89,8626.07160687,10102.21
2020-09-06,10353.39,9955.0,10211.71,10211.39,10215.42,5344.90160118,10184.28
2020-09-05,10567.9,9850.0,10005.13,9982.88,9984.51,12466.78669068,10212.44
2020-09-04,10685.43,9902.43,10469.26,10463.25,10469.26,20797.54115072,10334.31
2020-09-03,11477.35,10455.0,10667.43,10669.5,10675.28,14747.24530638,10918.61
2020-09-02,12018.47,11155.32,11444.37,11438.56,11444.37,13194.80794354,11472.4
2020-09-01,12065.82,11515.0,11974.39,11973.55,11981.78,7686.97594612,11889.93
2020-08-31,11780.0,11573.39,11652.01,11652.01,11659.53,4737.63606564,11689.07
2020-08-30,11687.01,11458.62,11660.0,11654.01,11660.0,2079.42596101,11610.02
2020-08-29,11592.0,11423.64,11479.01,11479.3,11485.59,2116.64923875,11510.08
2020-08-28,11555.61,11274.81,11477.42,11476.75,11484.2,6064.20489511,11450.51
2020-08-27,11602.92,11122.72,11274.0,11269.98,11277.61,7810.31317863,11349.91
2020-08-26,11549.8,11250.14,11451.65,11451.75,11462.24,4329.98715861,11378.98
2020-08-25,11789.82,11112.75,11358.31,11358.31,11361.97,6975.57525172,11422.58
2020-08-24,11832.55,11588.61,11752.73,11752.73,11762.05,2865.19011082,11744.03
2020-08-23,11715.09,11524.7,11645.73,11645.73,11654.98,1634.45143961,11622.65
2020-08-22,11692.37,11367.0,11669.05,11670.48,11675.49,3497.42067213,11542.28
2020-08-21,11887.67,11485.49,11551.56,11543.94,11550.78,6320.82413882,11726.49
2020-08-20,11894.12,11675.29,11830.59,11830.59,11836.0,4483.13896748,11794.88
2020-08-19,12050.59,11574.4,11752.1,11747.26,11752.1,9397.3229297,11785.84
2020-08-18,12448.42,11823.0,12048.83,12048.83,12052.38,9283.88557629,12110.07
2020-08-17,12473.0,11771.44,12383.04,12383.04,12386.44,9027.91601318,12147.43
2020-08-16,11938.55,11685.97,11907.95,11906.84,11907.95,2538.77125772,11836.87
2020-08-15,11986.93,11667.7,11860.45,11859.84,11867.34,3911.18046196,11872.71
2020-08-14,11862.0,11652.01,11789.31,11788.95,11792.59,5744.33259201,11749.44
2020-08-13,11806.61,11270.91,11746.51,11745.67,11751.55,6619.73205596,11525.53
2020-08-12,11625.0,11150.0,11550.11,11548.11,11555.07,5830.16968264,11460.88
2020-08-11,11945.05,11130.0,11345.6,11345.61,11354.36,10436.78938498,11560.69
2020-08-10,12080.0,11510.0,11827.47,11827.47,11831.06,7594.96062643,11880.9
2020-08-09,11808.28,11527.92,11686.49,11686.3,11688.83,2756.62124888,11670.25
2020-08-08,11817.95,11527.0,11751.0,11748.92,11751.0,3974.68253801,11687.91
2020-08-07,11920.0,11219.0,11596.23,11590.76,11599.46,10656.29797171,11651.83
2020-08-06,11913.5,11575.57,11792.64,11786.98,11792.64,10047.08500529,11753.19
2020-08-05,11795.86,11094.35,11640.02,11632.4,11640.02,7087.49803279,11542.08
2020-08-04,11420.0,11000.79,11234.07,11235.71,11240.12,5641.29510549,11216.7
2020-08-03,11480.0,10933.26,11222.2,11213.64,11223.33,7103.43398989,11277.34
2020-08-02,12100.0,10559.59,11125.71,11116.36,11125.7,12543.54828281,11294.95
2020-08-01,11883.36,11228.0,11798.86,11793.72,11798.86,11236.61752599,11621.72
2020-07-31,11457.95,10973.8,11312.82,11307.98,11314.23,10418.2456905,11236.58
2020-07-30,11262.63,10832.0,11189.0,11187.87,11189.35,10988.36344842,11028.69
2020-07-29,11358.47,10855.81,11257.71,11253.64,11257.71,11745.80070995,11127.9
2020-07-28,11263.85,10583.48,10964.01,10962.02,10969.43,19326.77467641,10972.74
2020-07-27,11417.11,9908.73,11247.84,11235.09,11244.43,25446.82075658,10510.09
2020-07-26,10200.0,9657.0,9929.11,9927.07,9929.11,9332.88320194,9909.02
2020-07-25,9751.82,9529.0,9715.0,9710.26,9714.95,5201.42629778,9625.49
2020-07-24,9650.55,9474.35,9550.0,9550.0,9550.49,7715.97629487,9564.06
2020-07-23,9690.0,9453.38,9606.45,9601.82,9607.71,10683.9652898,9544.28
2020-07-22,9573.0,9280.8,9521.45,9520.75,9524.69,5188.3063779,9378.36
2020-07-21,9442.89,9152.23,9388.65,9385.16,9388.1,5588.67458685,9336.62
2020-07-20,9243.36,9128.21,9168.57,9166.13,9168.59,3138.15493501,9177.2
2020-07-19,9202.0,9106.3,9194.72,9193.32,9194.72,1446.63819912,9150.71
2020-07-18,9214.63,9122.72,9167.83,9169.35,9172.6,1372.78839177,9165.05
2020-07-17,9184.28,9073.53,9161.68,9161.68,9165.21,3601.82089347,9131.22
2020-07-16,9217.5,9026.51,9134.8,9131.42,9134.8,5630.5715471,9109.79
2020-07-15,9276.98,9153.38,9203.14,9198.97,9203.13,3733.35927917,9214.19
2020-07-14,9282.08,9095.0,9251.07,9251.07,9256.87,4463.19271749,9215.37
2020-07-13,9351.17,9190.49,9232.81,9232.81,9238.23,3868.62010288,9280.26
2020-07-12,9347.76,9153.48,9296.16,9296.55,9299.37,2025.43019508,9254.84
2020-07-11,9318.92,9180.0,9218.0,9218.0,9221.71,1647.07154541,9241.44
2020-07-10,9255.5,9053.14,9227.54,9228.63,9234.44,3725.07396263,9180.28
2020-07-09,9454.1,9157.11,9248.37,9243.75,9248.29,4617.6160224,9300.66
2020-07-08,9479.57,9228.91,9454.1,9454.1,9455.09,6320.32956106,9345.93
