"Date","Price","Open","High","Low","Change %"
"Nov 08, 2019","1.6892","1.6882","1.6970","1.6872","0.09%"
"Nov 07, 2019","1.6877","1.6942","1.6961","1.6847","-0.39%"
"Nov 06, 2019","1.6943","1.6952","1.6991","1.6917","-0.01%"
"Nov 05, 2019","1.6945","1.6944","1.6968","1.6893","0.04%"
"Nov 04, 2019","1.6939","1.7007","1.7012","1.6921","-0.29%"
"Nov 01, 2019","1.6988","1.7037","1.7083","1.6989","-0.23%"
"Oct 31, 2019","1.7028","1.6979","1.7085","1.6962","0.32%"
"Oct 30, 2019","1.6973","1.6839","1.7002","1.6811","0.83%"
"Oct 29, 2019","1.6834","1.6795","1.6880","1.6719","0.29%"
"Oct 28, 2019","1.6785","1.6753","1.6817","1.6727","0.28%"
"Oct 25, 2019","1.6738","1.6799","1.6810","1.6727","-0.35%"
"Oct 24, 2019","1.6796","1.6884","1.6938","1.6725","-0.48%"
"Oct 23, 2019","1.6877","1.6853","1.6898","1.6811","0.15%"
"Oct 22, 2019","1.6851","1.6962","1.7010","1.6845","-0.61%"
"Oct 21, 2019","1.6954","1.6966","1.7068","1.6911","-0.41%"
"Oct 18, 2019","1.7023","1.6933","1.7047","1.6867","0.56%"
"Oct 17, 2019","1.6928","1.6942","1.7095","1.6815","-0.05%"
"Oct 16, 2019","1.6937","1.6877","1.6997","1.6729","0.37%"
"Oct 15, 2019","1.6874","1.6684","1.6913","1.6669","1.17%"
"Oct 14, 2019","1.6679","1.6694","1.6732","1.6537","-0.06%"
"Oct 11, 2019","1.6689","1.6537","1.6822","1.6473","0.94%"
